Age,Nutrients,Animal,Exp,Animal ID,t h a1,t h t1,t h t2,t h i,t h tm,h h a1,h h t1,h h t2,h h i,h h tm,t bwm a1,t bwm t1,t bwm t2,t bwm i,t bwm tm,h bwm a1,h bwm t1,h bwm t2,h bwm i,h bwm tm,pm a1,pm t1,pm t2,pm i,pm tm,g a1,g t1,g t2,g i,g tm
11,AL,1,CMFLIM12,CMFLIM12 Animal1 AL Day11,0.622156214,0.669357,3.591997,11037.44493,1.773658363,0.682831142,0.603479,3.362704,8486.55914,1.478619242,0.701550304,0.606539,3.313829,8818.68743,1.414528877,0.712214828,0.59362,2.749676,9647.058824,1.214100947,0.725276843,0.552602,2.777178,7781.25,1.163744542,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,5,CMFLIM12,CMFLIM12 Animal5 AL Day11,0.648862892,0.531022,3.628674,6523.297491,1.618722565,0.732118678,0.503595,3.264526,3392.190153,1.243196846,#N/A,#N/A,#N/A,#N/A,#N/A,0.718406331,0.498209,2.912438,2565.38127,1.178040602,0.672641901,0.679313,3.091555,7583.956492,1.468979955,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,7,CMFLIM14,CMFLIM14 Animal7 DR Day11,0.645172754,0.630196,3.404682,1739.690722,1.614659226,0.724776918,0.579064,2.870609,9426.202322,1.209750077,0.764456202,0.615972,2.799009,3289.299868,1.130172826,0.727673028,0.642508,2.714141,3732.849072,1.206669542,0.749303592,0.570736,2.624471,7146.341463,1.085599987,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,4,CMFLIM14,CMFLIM14 Animal4 AL Day11,0.649836547,0.608565,3.427427,10693.95018,1.595627451,0.551193438,0.686666,3.523195,10408.11639,1.959718829,0.664540974,0.499379,2.892805,5257.324841,1.302275355,0.754873472,0.592315,2.917672,6750.330251,1.162321688,0.406309296,0.68441,4.328514,2533.505155,2.847880669,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,2,CMFLIM14,CMFLIM14 Animal2 AL Day11,0.654578611,0.6434,3.328889,6316.953317,1.571025341,#N/A,#N/A,#N/A,#N/A,#N/A,0.636273384,0.603094,3.347826,3519.396552,1.601426082,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,1,CMFLIM12,CMFLIM12 Animal1 DR Day11,0.670228735,0.690989,3.261351,12214.28571,1.538620528,0.65925052,0.5869,2.978069,13415.56535,1.401689593,0.748057196,0.670713,2.971021,2610.854503,1.250259048,0.750889898,0.615613,2.785875,5184.287812,1.156247188,0.774191898,0.522671,2.357878,13685.44194,0.937075609,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,1,CMFLIM10,CMFLIM10 Animal1 DR Day11,0.613872422,0.554846,3.096932,4460.980036,1.53641551,0.675757514,0.627899,2.838168,15212.4183,1.344562115,0.709557318,0.580757,2.789393,11512.19512,1.222239163,0.735280306,0.596835,2.618565,9823.638042,1.132026747,0.739106201,0.59298,2.602225,14379.8752,1.117179561,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,12,CMFLIM10,CMFLIM10 Animal12 DR Day11,0.68237839,0.710554,3.161846,14093.43715,1.489137312,0.553574162,0.590581,3.628711,15951.98523,1.946880731,0.747735411,0.627678,2.825978,6611.782477,1.182231246,0.580770847,0.673386,3.993394,15309.83847,2.065230142,0.604373886,0.595547,3.547242,18269.07216,1.763314623,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,2,CMFLIM10,CMFLIM10 Animal2 DR Day11,0.726649847,0.619409,3.785484,8473.584906,1.484856086,0.634766461,0.69176,3.231103,7917.547569,1.619213231,0.757742312,0.557111,2.69147,7101.973684,1.074175877,0.771006539,0.662218,2.980316,14089.24205,1.193047284,0.731881359,0.6621,2.849331,8507.57077,1.248537403,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,10,CMFLIM12,CMFLIM12 Animal10 DR Day11,0.673149283,0.593472,3.292737,7885.628292,1.475728701,0.695479254,0.616711,2.928895,14066.74613,1.320818997,0.729356257,0.560345,2.609701,3485.074627,1.114990379,0.743832815,0.630299,2.666242,13039.76751,1.151840787,0.774031763,0.531263,2.359576,14823.59746,0.944403665,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,7,CMFLIM12,CMFLIM12 Animal7 DR Day11,0.703820317,0.637904,3.365533,6437.198068,1.445772293,0.740929109,0.504183,2.646399,5127.017179,1.059168808,0.772294043,0.587381,2.581901,4295.918367,1.041545085,0.703905595,0.537867,2.497333,3114.76557,1.118053919,0.746012525,0.599961,2.530957,5268.101761,1.090409798,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,11,CMFLIM12,CMFLIM12 Animal11 DR Day11,0.69509681,0.664729,3.158366,4162.078153,1.425046876,0.669117256,0.662416,3.01565,6280.322094,1.441060523,0.759328777,0.610427,2.741569,2822.344322,1.123331552,0.722648605,0.63001,2.738972,3399.728997,1.214933553,0.753880909,0.63551,2.650894,5977.797513,1.131534478,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,2,CMFLIM14,CMFLIM14 Animal2 DR Day11,0.674610965,0.575195,3.096724,3910.963053,1.395672888,0.623153765,0.633898,3.124041,11070.02457,1.572299014,0.763604506,0.544771,2.611172,1251.585624,1.033258885,#N/A,#N/A,#N/A,#N/A,#N/A,0.667749481,0.634166,2.97478,4841.269841,1.411836216,#N/A,#N/A,#N/A,#N/A,#N/A
11,AL,2,CMFLIM10,CMFLIM10 Animal2 AL Day11,0.660193817,0.536731,2.984557,5633.281972,1.36851741,#N/A,#N/A,#N/A,#N/A,#N/A,0.697303959,0.645525,3.424099,4890.23406,1.486588349,0.618746822,0.764298,3.065106,4831.13069,1.641488362,0.696499896,0.71475,3.215711,2658.838072,1.473791924,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,5,CMFLIM12,CMFLIM12 Animal5 DR Day11,0.681453845,0.592966,2.973902,5163.504968,1.351404008,0.685653291,0.594229,2.876824,7003.913894,1.311755226,0.73500533,0.613332,2.764069,4517.611026,1.183265842,0.777425391,0.640052,2.8322,3411.222137,1.127968484,0.765627376,0.505696,2.445233,5144.674086,0.960270376,#N/A,#N/A,#N/A,#N/A,#N/A
11,DR,1,CMFLIM14,CMFLIM14 Animal1 DR Day11,0.683660515,0.576098,2.92451,12119.35209,1.318993443,0.667186552,0.572395,2.891065,13185.35681,1.344079557,0.770631097,0.512433,2.227247,6531.971581,0.905758006,0.731755243,0.57546,2.625058,5317.021277,1.125253917,0.772860512,0.559411,2.745011,8855.036855,1.055847065,#N/A,#N/A,#N/A,#N/A,#N/A
