AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM14 Day11 DR Animal3,11,DR,3,CMFLIM14,0.667206953,0.515011,2.8173475,9009.920689,0.667012685,0.5741065,2.9442285,14198.2404,0.691286844,0.5529085,2.632579,3103.046131,0.677542319,0.558208,2.814442,5798.280643,0.684614199,0.619798,2.7758985,11133.45128,0.633177746,0.604493,2.8890365,2723.876102
CMFLIM12 Day11 DR Animal4,11,DR,4,CMFLIM12,0.7122278,0.468002,2.7635695,6590.655809,0.707301429,0.5543135,2.8612735,3815.854545,0.744671031,0.550029,2.477545,4290.460565,0.735816235,0.6946715,2.900833,3121.013678,0.769508105,0.52491,2.3441815,4193.46655,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal5,11,DR,5,CMFLIM12,0.686855841,0.581909,2.933601,5414.692015,0.709572165,0.5770855,2.859215,7311.501996,0.736989337,0.6180765,2.704686,4537.143553,0.737386012,0.6247995,2.6292045,3437.525962,0.780651926,0.532077,2.4959515,5306.095005,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day11 DR Animal5,11,DR,5,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.628450924,0.5796315,2.8226975,4282.908694,0.791761731,0.5244415,2.4624845,4367.224127,0.721070749,0.5968905,2.696001,3179.559145,0.751478234,0.557266,2.6595095,6589.009975,0.725105634,0.5575275,2.8400345,4755.56813
CMFLIM10 Day11 DR Animal6,11,DR,6,CMFLIM10,0.740069177,0.5563405,2.521568,11919.96264,0.664145083,0.5814715,2.8949305,7788.55042,0.681820223,0.558345,2.6307375,8558.61455,0.739951259,0.6571835,2.9086375,8933.625841,0.703975346,0.609186,2.59925,8681.092729,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal6,11,DR,6,CMFLIM12,0.684066446,0.539889,2.987251,5042.09633,0.582997824,0.592813,3.132546,3767.282312,0.785088438,0.5164605,2.592692,4810.067214,0.750519631,0.5646675,2.6044095,3174.909734,0.605840291,0.521919,3.693957,6188.417668,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day11 DR Animal6,11,DR,6,CMFLIM14,0.63967215,0.5748465,2.8530735,10856.20969,0.595583668,0.632767,2.9007115,4952.978832,0.770950244,0.552037,2.798373,4412.363528,0.71885933,0.628402,2.7824155,3980.148988,0.719334574,0.603469,2.714891,4150.483771,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal7,11,DR,7,CMFLIM12,0.689913442,0.578299,2.849731,6274.409533,0.721634066,0.543477,2.823256,5240.219899,0.775649663,0.5999275,2.7047995,2958.110059,0.73257282,0.623978,2.65977,2483.533805,0.737340145,0.5571285,2.390089,5681.78026,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day11 DR Animal7,11,DR,7,CMFLIM14,0.674477809,0.599033,3.0897575,4266.161742,0.723719827,0.589617,2.86561,10339.76402,0.739746578,0.639435,3.1912585,2781.577415,0.718745826,0.636274,2.7798605,4130.963543,0.761633582,0.546867,2.485561,7123.469112,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day11 DR Animal8,11,DR,8,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.677392772,0.6022725,2.9228455,7326.795701,#N/A,#N/A,#N/A,#N/A,0.743749535,0.634884,2.78795,3542.712217,0.749614807,0.5802225,2.534464,6142.085333,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day11 DR Animal9,11,DR,9,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.545936527,0.7100105,4.077582,13291.35272,0.667745057,0.5340345,4.1312635,3154.584535,0.565076614,0.7927005,4.0758295,10673.46826,0.563788412,0.6797825,4.1442785,17059.35612,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day1 AL Animal10,1,AL,10,CMFLIM10,0.64949106,0.573004,2.9252115,10388.02461,0.689437297,0.600608,3.093144,6951.714942,0.736657157,0.5873625,2.882848,5287.224792,0.734940126,0.5573005,2.8269815,6470.655806,0.728957913,0.566608,2.671924,9090.004406,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day1 AL Animal10,1,AL,10,CMFLIM12,0.632004091,0.6133515,2.942503,10412.47085,0.622252672,0.609643,3.180402,8474.720497,0.756684971,0.6168875,3.14189,6252.645662,0.736924872,0.6406605,3.014841,5253.226582,0.726443627,0.5978545,2.6830755,7449.065041,0.671542574,0.603838,3.00325,10932.23688
CMFLIM14 Day1 AL Animal10,1,AL,10,CMFLIM14,0.705766816,0.5326195,2.8552015,11911.56452,0.694297418,0.568244,3.0738845,9738.168719,0.714704428,0.5672215,2.7587,5254.674239,0.765385431,0.59918,2.917989,10171.00441,0.719665216,0.588609,2.565697,12127.59239,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day1 AL Animal1,1,AL,1,CMFLIM10,0.667120299,0.587004,3.0992305,8746.239973,0.644036301,0.523914,2.981568,5389.936452,0.752346076,0.536823,2.8026965,6341.16336,0.793772038,0.5297025,2.7246015,5514.170611,0.743600404,0.555056,2.58064,9710.290991,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day1 AL Animal1,1,AL,1,CMFLIM12,0.747085992,0.51166,2.84953,6153.859569,0.706742214,0.557579,3.0427895,14097.24401,0.709338228,0.5374755,3.084071,2286.322667,0.793839211,0.539344,2.7520065,13001.17742,0.739028075,0.5751505,2.7234355,15552.91224,0.685295235,0.6200225,3.1730325,3908.008658
CMFLIM14 Day1 AL Animal1,1,AL,1,CMFLIM14,0.631624161,0.6371135,2.997345,15230.58793,0.655157679,0.611878,3.093073,11797.82151,0.757802498,0.569767,2.800121,8347.459485,0.744065585,0.5899675,2.971796,12323.83646,0.733412282,0.5810315,2.586401,13049.88562,0.668521534,0.5558005,2.852551,7627.206364
CMFLIM10 Day1 AL Animal2,1,AL,2,CMFLIM10,0.673085547,0.5373465,3.1085,8789.552667,0.611951215,0.515932,3.058495,5957.543497,0.762873386,0.590197,2.9297765,4669.586014,0.788781588,0.613105,3.250819,5806.968243,0.687269191,0.6143785,2.6904755,6476.975734,0.729090882,0.551974,2.906614,4772.222544
CMFLIM12 Day1 AL Animal2,1,AL,2,CMFLIM12,0.708995457,0.537462,2.9989635,9330.191905,0.674912076,0.5529955,3.0496925,9274.905113,0.791785195,0.554178,2.8622655,9800.418275,0.757732062,0.62649,3.0210835,8922.978102,0.712398655,0.551494,2.522268,13133.70515,0.703405796,0.5943665,2.775915,7860.565743
CMFLIM14 Day1 AL Animal2,1,AL,2,CMFLIM14,0.628882902,0.5864535,2.963315,12702.88166,0.639647287,0.5787295,3.0970345,11907.14453,0.724839188,0.6276505,3.048414,6144.086081,0.747786501,0.581507,2.7649355,13220.05505,0.715695848,0.5367655,2.489767,12007.94921,0.719124201,0.7286275,3.105646,7867.18657
CMFLIM10 Day1 AL Animal3,1,AL,3,CMFLIM10,0.658893539,0.613044,3.150994,11205.46245,0.631695121,0.636856,3.412028,6962.823105,0.756710932,0.563812,2.7872315,5560.632363,0.761657034,0.5558195,2.6956715,9058.097184,0.742067731,0.561523,2.7108405,10881.48719,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day1 AL Animal3,1,AL,3,CMFLIM12,0.654307159,0.5646505,2.8644925,6234.288627,0.642049236,0.5640535,3.074549,10998.93571,0.767163561,0.5490855,2.918378,2700.506079,0.743885225,0.5990755,2.9417365,10268.71601,0.729557172,0.581496,2.6348875,14365.17694,0.701918075,0.6027775,2.73467,3294.345473
CMFLIM14 Day1 AL Animal3,1,AL,3,CMFLIM14,0.658274842,0.5201335,2.7538775,6488.437968,0.684790567,0.542605,3.0349895,11619.35223,0.731031512,0.5675445,2.8944,3439.521072,0.735279102,0.594613,2.7830695,9847.25604,0.72314685,0.540831,2.5355405,14839.56291,0.702249212,0.6969725,3.0280255,4324.810074
CMFLIM12 Day1 AL Animal4,1,AL,4,CMFLIM12,0.662499872,0.6030095,3.0998725,10209.47967,0.66758349,0.5558765,3.1680085,7687.915864,0.733611807,0.5449905,2.9728505,4351.623715,0.765566246,0.569119,2.91602,6553.014905,0.710861974,0.5450055,2.5970335,8526.550515,0.703578556,0.570759,3.056528,2862.208774
CMFLIM14 Day1 AL Animal4,1,AL,4,CMFLIM14,0.648812744,0.601608,3.0143205,4556.016231,0.63361816,0.5405595,2.802701,7935.770751,0.742669618,0.651181,2.9388185,3924.572487,0.756746103,0.5959735,2.851214,7397.095343,0.709898969,0.5781695,2.522153,14762.21636,0.5,0.1204705,0.1204705,4164.850212
CMFLIM12 Day1 AL Animal5,1,AL,5,CMFLIM12,0.653620716,0.570067,2.9629755,14123.36441,0.646321028,0.5674045,3.1283485,10075.69221,0.708682041,0.55881,2.8298645,6992.507474,0.763054819,0.562607,2.889272,7817.501756,0.726748143,0.5840465,2.692309,10605.45462,0.636994392,0.695685,3.1476585,4698.103507
CMFLIM14 Day1 AL Animal5,1,AL,5,CMFLIM14,0.685970935,0.549381,2.974412,9283.163482,0.680606532,0.5773245,3.066381,6698.990223,0.766586956,0.533825,2.83237,4490.591736,0.740241614,0.5900135,2.8096185,7495.581283,0.688109147,0.617228,2.6386085,10167.70549,0.706803942,0.6890855,3.0697515,8139.492518
CMFLIM12 Day1 AL Animal6,1,AL,6,CMFLIM12,0.694028984,0.5547945,3.092439,8360.585405,0.620211096,0.583309,3.166768,7516.90831,0.772600831,0.52383,2.7887545,7785.016594,0.742791619,0.615201,2.900553,5895.271642,0.711629211,0.5600205,2.6499605,7718.011774,0.691526178,0.515605,2.798093,4866.733389
CMFLIM14 Day1 AL Animal6,1,AL,6,CMFLIM14,0.65090757,0.604488,3.0239255,5033.123275,0.676500262,0.5744145,2.8845155,5875.701138,0.778501866,0.5725595,2.724027,3713.373921,0.746807893,0.6600725,2.9746245,6179.644037,0.677264274,0.5520785,2.5437265,7431.911266,0.658372424,0.5844975,2.834712,7454.533279
CMFLIM10 Day1 AL Animal7,1,AL,7,CMFLIM10,0.665898268,0.5934985,3.045402,13055.72769,0.693841902,0.515888,2.845993,6248.59275,0.697331095,0.5409085,2.7946775,5698.354042,0.776592026,0.5398545,2.7124765,7643.597917,0.728287276,0.5377155,2.5006195,10833.29457,0.706162348,0.5387995,2.9958025,4550.899471
CMFLIM12 Day1 AL Animal7,1,AL,7,CMFLIM12,0.638491392,0.5944485,3.058442,9075.769302,0.655925035,0.5467145,3.073107,11578.27043,0.719192533,0.5978375,3.271649,13500.9801,0.738637181,0.544248,2.659689,7017.834802,0.737227309,0.5721815,2.668472,10832.71229,0.662538816,0.5959915,3.048012,5629.356027
CMFLIM14 Day1 AL Animal7,1,AL,7,CMFLIM14,0.682801697,0.565655,3.0031765,8022.479389,0.65758019,0.5976565,2.9366605,5710.238885,0.730514567,0.6337255,2.9555815,6180.618531,0.723396561,0.6170625,2.8320565,5825.847849,0.678405156,0.555453,2.504968,9782.347434,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day1 AL Animal8,1,AL,8,CMFLIM10,0.590301546,0.558006,3.006253,6331.837414,0.658631928,0.604668,3.1513895,5681.894,0.753606358,0.60207,3.181533,4957.056417,0.760448511,0.5688165,2.9335735,6197.130477,0.735696541,0.527198,2.550267,9829.938017,0.629453401,0.6333695,2.9669355,5000.874091
CMFLIM12 Day1 AL Animal8,1,AL,8,CMFLIM12,0.651202134,0.5928125,3.1650365,5162.946429,0.612324286,0.630527,3.25214,7143.446372,0.71485621,0.608764,3.0589805,2666.297427,0.742306897,0.633675,2.977845,9096.870404,0.699010061,0.6114775,2.6653635,11045.42665,0.666078392,0.5592535,2.847778,17723.75827
CMFLIM14 Day1 AL Animal8,1,AL,8,CMFLIM14,0.66188181,0.5358375,2.7743805,10136.33152,0.61548292,0.610049,3.0370475,5676.568188,0.72757722,0.583235,2.828251,5720.978441,0.725824737,0.6287545,2.9660165,4182.872908,0.683684965,0.550219,2.4515795,6273.401163,0.708256034,0.5576585,2.9146665,7894.620231
CMFLIM10 Day1 AL Animal9,1,AL,9,CMFLIM10,0.647308917,0.597523,3.1217445,18187.11974,0.639719498,0.5871365,3.1158865,12491.85125,0.680997779,0.5446115,2.9700025,7102.514641,0.725060887,0.5937285,2.9837185,10521.30099,0.692310995,0.607286,2.687053,14609.40171,0.702827092,0.5688255,3.064923,6436.271996
CMFLIM12 Day1 AL Animal9,1,AL,9,CMFLIM12,0.673677333,0.5983145,3.0025105,8446.555947,0.685314437,0.541497,2.9946595,7832.167319,0.726170927,0.6155025,2.867124,8592.876611,0.737746658,0.595687,2.9089585,9252.667381,0.723829336,0.606999,2.732612,10725.5588,0.669205308,0.686615,2.8523665,6628.04878
CMFLIM14 Day1 AL Animal9,1,AL,9,CMFLIM14,0.640415857,0.670844,3.087898,11534.86046,0.644524875,0.621631,3.0440055,11891.48424,0.753187426,0.632634,3.0699945,4778.573862,0.734172407,0.6627435,2.8821675,9295.41102,0.683087987,0.5835015,2.4996575,15145.1121,0.697128216,0.5998895,2.891993,4247.472987
CMFLIM10 Day1 DR Animal1,1,DR,1,CMFLIM10,0.630837133,0.594461,2.8171935,8077.902943,0.680702349,0.542188,2.8258955,12098.56965,0.677734929,0.6671345,2.63678,6071.895121,0.697661674,0.6399645,2.5679715,9925.591451,0.630801844,0.650557,2.332641,12585.01565,0.705195186,0.5635395,2.865902,#DIV/0!
CMFLIM12 Day1 DR Animal1,1,DR,1,CMFLIM12,0.645569094,0.61235,3.0950105,13109.42316,0.661547181,0.6197565,3.0991555,4664.370699,0.639865587,0.6606705,2.8454725,7190.736851,0.689273389,0.683353,2.8237655,2803.475964,0.654404995,0.5990845,2.3512045,5634.904305,0.676778442,0.7057995,2.8775585,2818.115986
CMFLIM14 Day1 DR Animal1,1,DR,1,CMFLIM14,0.655796471,0.547656,3.008424,9026.638897,0.724644946,0.551919,3.220608,7312.182103,0.776716685,0.6251155,3.1252675,4745.649582,0.784975274,0.6169805,3.020294,4416.627993,0.754014794,0.6157925,2.941764,6734.936121,0.758471162,0.585258,3.0459605,4936.600035
CMFLIM10 Day1 DR Animal2,1,DR,2,CMFLIM10,0.681137102,0.543978,2.8055065,13914.16668,0.678607928,0.532182,2.8111375,9437.738396,0.762776054,0.590235,2.6295555,6567.419246,0.720070763,0.616729,2.6841245,8276.332867,0.708543251,0.5869955,2.4031235,13941.38399,0.663900581,0.551676,2.6542335,5932.869627
CMFLIM12 Day1 DR Animal2,1,DR,2,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.65872203,0.57218,3.062829,3525.391521,#N/A,#N/A,#N/A,#N/A,0.735030061,0.717116,2.8955245,4012.16614,0.673924327,0.5754745,2.4342795,5983.954911,#N/A,#N/A,#N/A,#N/A
CMFLIM14 Day1 DR Animal2,1,DR,2,CMFLIM14,0.714837965,0.511342,2.8097495,8594.375682,0.717246314,0.55196,3.298488,13118.49535,0.771562797,0.6156295,3.0257185,3349.800463,0.718206297,0.607443,3.2536765,4842.888788,0.719599572,0.6215165,3.1771915,14628.18812,0.704178942,0.5806725,3.296923,6641.07436
CMFLIM10 Day1 DR Animal3,1,DR,3,CMFLIM10,0.615495448,0.5833585,2.80178,9845.300635,0.65973557,0.587664,2.884277,10550.05512,0.68856811,0.437621,2.355533,6554.905116,0.710890025,0.667526,2.8291775,12108.76183,0.642240628,0.6592295,2.4321535,12132.69317,0.676248642,0.6254445,2.968689,3695.3569
CMFLIM12 Day1 DR Animal3,1,DR,3,CMFLIM12,0.63318474,0.585976,3.073,2000.033542,0.692108175,0.550132,2.979359,13682.38216,0.665114256,0.5608545,2.7739945,6719.672288,0.750464657,0.6893135,3.0830195,9188.149453,0.706945309,0.596622,2.458093,14885.89832,0.605549988,0.719454,2.948194,3765.817127
CMFLIM14 Day1 DR Animal3,1,DR,3,CMFLIM14,#N/A,#N/A,#N/A,#N/A,0.683534676,0.5670175,3.263362,11235.55223,0.721190646,0.6466535,2.8529615,4590.073215,0.754315259,0.622633,3.1744645,5155.934577,0.749777321,0.6602445,3.0809805,8880.168317,0.685071113,0.563792,2.8550585,3058.040226
CMFLIM10 Day1 DR Animal4,1,DR,4,CMFLIM10,0.649448662,0.557418,2.8687805,13180.25249,0.66322293,0.5738695,2.8332365,10848.91457,0.728849941,0.6544545,2.702529,10017.42629,0.685149607,0.659717,2.734154,7417.259682,0.658562836,0.6260875,2.3628735,11266.37123,0.73316769,0.551647,2.678353,4001.432925
CMFLIM12 Day1 DR Animal4,1,DR,4,CMFLIM12,0.644023993,0.62854,2.9437555,8784.473325,0.638123439,0.5924085,2.9711725,10034.65565,0.722058959,0.6857635,2.8689615,6277.223771,0.741652416,0.705613,2.966978,6293.450375,0.680320463,0.5320095,2.3025345,15218.71762,0.644488871,0.7014145,3.0303245,8964.973262
CMFLIM10 Day1 DR Animal5,1,DR,5,CMFLIM10,0.651454292,0.6141645,3.1110815,10871.14616,0.652214218,0.6307405,3.081768,8778.723043,0.663467098,0.6291405,2.753236,7996.98601,0.74131843,0.7819205,3.394775,13899.87237,0.639207308,0.6527375,2.425819,15367.33785,0.695631698,0.676193,3.080772,7301.184725
CMFLIM12 Day1 DR Animal5,1,DR,5,CMFLIM12,0.647514876,0.577981,3.023134,10451.48141,0.686967307,0.552187,3.1034125,5272.362737,0.692174123,0.6582925,2.9444085,4136.199359,0.740775623,0.722612,2.9850375,4923.830777,0.689628103,0.622744,2.539918,6605.757835,0.691957931,0.608071,3.174082,9944.578365
CMFLIM14 Day1 DR Animal5,1,DR,5,CMFLIM14,0.662229102,0.56371,3.057101,9740.669203,0.720606382,0.601877,3.1677785,17910.13522,0.679884494,0.502752,3.0956985,4151.05992,0.776991681,0.6817925,3.34585,10884.24456,0.748424772,0.622529,2.841229,10685.17426,0.724232518,0.5419975,2.7869615,2448.635403
CMFLIM10 Day1 DR Animal6,1,DR,6,CMFLIM10,0.677872367,0.5991925,2.991071,9976.512126,0.669567487,0.549637,2.8389905,7618.519222,0.719766728,0.6498715,2.837994,7789.638299,0.730578438,0.7124675,2.839094,7298.833919,0.58617362,0.807869,2.397218,11327.77131,0.71793157,0.6473815,2.7792855,6092.459699
CMFLIM12 Day1 DR Animal6,1,DR,6,CMFLIM12,0.671532917,0.6294445,3.064438,9848.743183,0.64532805,0.600129,2.9969875,8192.889249,0.712087445,0.6004795,2.7239955,5210.895146,0.730354705,0.69684,2.8503445,5172.903367,0.690880707,0.5520405,2.384699,12545.19726,0.68158831,0.615207,2.934714,4192.566539
CMFLIM14 Day1 DR Animal6,1,DR,6,CMFLIM14,0.649966221,0.682721,2.9312925,5509.889717,0.627581376,0.715851,2.9730205,16023.64305,0.779223528,0.535782,2.522124,4793.141162,0.747604112,0.5940515,2.692491,10151.92132,0.748206197,0.6246985,2.5221275,14515.45995,0.717199709,0.6016585,3.038619,5337.872259
CMFLIM10 Day1 DR Animal7,1,DR,7,CMFLIM10,0.673174916,0.5652755,2.8185345,12645.35865,0.672550315,0.509988,2.8282985,8936.11198,0.717966954,0.6430935,2.675959,8640.040653,0.729988607,0.623179,2.689789,7608.328951,0.657665393,0.5623345,2.1981685,13119.49084,0.722975812,0.582146,2.6745185,6845.408434
CMFLIM12 Day1 DR Animal7,1,DR,7,CMFLIM12,0.614882395,0.64304,2.998168,12956.88687,0.642833194,0.560535,2.874961,5290.28133,0.727525701,0.657082,2.991308,5675.789515,0.728542929,0.7029295,3.002824,2548.845471,0.607838611,0.6326365,2.399566,5318.122057,0.697136532,0.6082245,2.9230265,2764.644095
CMFLIM14 Day1 DR Animal7,1,DR,7,CMFLIM14,0.699792464,0.6116315,3.072671,6392.733919,0.674153295,0.557672,2.924202,4978.51967,0.748275832,0.5989835,2.689816,7254.64013,0.753487357,0.567425,2.570482,4932.971547,0.751045115,0.5738615,2.531354,5829.074918,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day1 DR Animal8,1,DR,8,CMFLIM10,0.627439559,0.644729,2.8708295,20509.95267,0.657106589,0.5756055,2.855307,13899.62938,0.720430932,0.5931195,2.6524435,7362.174579,0.725884085,0.566293,2.5834725,7175.545677,0.677336635,0.579925,2.4675025,10720.69272,0.7155112,0.521209,2.7969645,4383.028838
CMFLIM12 Day1 DR Animal8,1,DR,8,CMFLIM12,0.640764405,0.6432585,2.985905,7478.526411,0.655924132,0.568098,2.8479505,8854.674797,0.721543551,0.697233,3.0025455,3060.837073,0.744507079,0.622994,2.704994,7722.739579,0.693782334,0.5947725,2.4463585,9691.426902,0.736072085,0.5395015,2.652933,2721.298896
CMFLIM14 Day1 DR Animal8,1,DR,8,CMFLIM14,0.65201995,0.5957825,3.277239,9232.91865,0.678334914,0.6394195,3.025484,13479.63734,0.747760081,0.5288665,2.80277,4314.666595,0.712814699,0.634432,2.9805495,6108.878387,0.748309896,0.5582215,2.692285,13133.49193,0.689601494,0.504136,2.6343575,8592.62796
CMFLIM14 Day1 DR Animal9,1,DR,9,CMFLIM14,0.670975998,0.5464685,2.907142,15177.524,0.6869483,0.53529,2.8269405,4330.177879,0.785682969,0.5625525,3.0242645,6113.303103,0.721301182,0.612802,2.58784,3773.917199,0.735080586,0.556684,2.4821775,4973.085153,0.689019201,0.66898,3.154956,3195.825324
CMFLIM14 Day3 AL Animal10,3,AL,10,CMFLIM14,0.635112518,0.650363,3.066952,13365.42217,0.645234709,0.657868,3.0330205,5705.54857,0.744542736,0.6538595,2.831061,9655.749345,0.732419756,0.5749235,2.753912,2997.25771,0.697320559,0.5823015,2.681633,6112.603888,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day3 AL Animal1,3,AL,1,CMFLIM10,0.717631025,0.508739,2.9675645,9468.911862,0.639144998,0.576644,3.0094745,11905.55954,0.696686305,0.5699655,2.821689,4330.295106,0.705164436,0.611208,2.968357,5367.336625,0.649677436,0.672526,2.819964,9596.745471,0.644150719,0.706922,3.027546,5357.533153
CMFLIM12 Day3 AL Animal1,3,AL,1,CMFLIM12,0.674439551,0.6452985,3.2850755,15597.32844,0.690586212,0.520884,2.845866,16968.09141,0.733060324,0.598184,2.864412,6311.454903,0.766587738,0.5370975,2.8251835,17401.22685,0.745360415,0.5660585,2.629843,17953.84221,0.687360453,0.6377795,2.9287,5540.165571
CMFLIM14 Day3 AL Animal1,3,AL,1,CMFLIM14,0.703325405,0.512647,2.814619,8993.705245,0.664376252,0.5672365,3.041031,2478.457172,0.785506422,0.4969745,2.527454,5378.137302,0.746367983,0.532809,2.8261125,3444.789451,0.695781551,0.5806685,2.6698795,3840.113635,0.623169528,0.677821,2.9810135,4941.762752
CMFLIM10 Day3 AL Animal2,3,AL,2,CMFLIM10,0.665695563,0.583197,2.988028,9413.245097,0.645004185,0.5555485,3.1097375,6212.836277,0.743190694,0.58022,2.9174795,4554.125568,0.767233469,0.5463865,2.829617,5556.154064,0.725344964,0.557499,2.596136,8616.69929,0.757686681,0.60697,2.8727715,5414.536337
CMFLIM14 Day3 AL Animal2,3,AL,2,CMFLIM14,0.651286032,0.5902505,3.045644,5968.612073,0.713240849,0.5647765,2.885592,3606.596334,0.76470183,0.608621,2.759861,5510.12066,0.761883503,0.5781755,2.758612,3474.53785,0.708421847,0.5998015,2.6656605,3359.295645,0.733477896,0.5740855,2.6284,3245.993357
CMFLIM10 Day3 AL Animal3,3,AL,3,CMFLIM10,0.6827236,0.585599,3.025032,5542.611689,0.6507664,0.5668815,3.024814,6000.402351,0.743562648,0.560625,2.8614975,3148.531732,0.741803885,0.5690255,2.679141,6592.717439,0.680976444,0.5802585,2.552074,7660.235138,0.722456258,0.5216515,2.725954,4951.227214
CMFLIM12 Day3 AL Animal3,3,AL,3,CMFLIM12,0.677668264,0.567727,3.073318,12232.60309,0.68921563,0.578562,2.937014,7469.285411,0.723580667,0.62701,2.9167875,9491.15973,0.762176765,0.5546665,2.6916145,8581.359468,0.694639661,0.5808595,2.5968985,10076.05457,0.71747968,0.702181,2.8371875,10159.76221
CMFLIM14 Day3 AL Animal3,3,AL,3,CMFLIM14,0.632474172,0.6082755,2.9988025,5774.028415,0.675991138,0.5346355,2.9281385,3081.146721,0.711917374,0.633913,2.97269,3617.538368,0.733825649,0.615401,2.839517,3056.435481,0.67011936,0.611865,2.5625855,3695.093384,0.697036208,0.7362885,3.1013295,1985.223079
CMFLIM10 Day3 AL Animal4,3,AL,4,CMFLIM10,0.711022208,0.5619915,3.0718645,8610.913514,0.691025556,0.537068,2.971263,6436.59181,0.700292765,0.518927,2.598215,4897.289094,0.773055053,0.550856,2.6574185,7814.807018,0.728129941,0.5588795,2.5761335,9071.695043,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day3 AL Animal4,3,AL,4,CMFLIM12,0.694052546,0.5573325,2.978875,6802.896849,0.658472594,0.5322695,2.8681765,15401.89086,0.751020162,0.548549,2.757635,5795.220078,0.775081612,0.529517,2.723088,17476.43159,0.725382598,0.564527,2.522424,17964.6275,0.747277544,0.554255,2.635548,6500.813008
CMFLIM14 Day3 AL Animal4,3,AL,4,CMFLIM14,0.650784062,0.5698845,2.9588525,9893.158794,0.687763062,0.558782,2.8891195,4924.028444,0.729849868,0.623805,2.932616,6325.671479,0.759812085,0.6146275,2.8545825,4458.095433,0.702827124,0.609787,2.758673,5387.198945,0.735937721,0.635649,2.702743,4443.472812
CMFLIM10 Day3 AL Animal5,3,AL,5,CMFLIM10,0.722348811,0.5449245,2.897106,8180.998067,0.733907983,0.528495,2.842352,9623.956147,0.761316586,0.5398,2.5825105,5861.555523,0.75117218,0.566494,2.6937325,7965.286603,0.712021752,0.5544705,2.4768275,12807.05435,0.739014272,0.590963,2.7250365,4455.659306
CMFLIM12 Day3 AL Animal5,3,AL,5,CMFLIM12,0.684614961,0.602176,3.091701,10547.867,0.674208463,0.5741215,3.0323615,13190.83107,0.728817439,0.612642,2.9163525,6761.781574,0.745253051,0.5837905,2.7573345,14244.55616,0.68738096,0.6085135,2.5641475,14000.40352,0.634573744,0.746091,3.0646925,2742.695957
CMFLIM14 Day3 AL Animal5,3,AL,5,CMFLIM14,0.667288494,0.5833025,2.944432,8000.405268,0.695268102,0.562079,2.769076,11081.64621,0.746831958,0.585349,2.880087,5082.258735,0.751118468,0.6228225,2.8128045,14181.15126,0.724673069,0.587605,2.6551165,14203.39425,0.631188718,0.740756,3.1456,1477.346228
CMFLIM10 Day3 AL Animal6,3,AL,6,CMFLIM10,0.660537198,0.6363715,3.080662,7816.982975,0.639612658,0.598182,3.11017,9043.32146,0.718859242,0.578637,2.741653,4404.904909,0.752399865,0.612316,2.9044695,8773.596092,0.692020829,0.600526,2.5813845,12863.99625,0.742194235,0.5947315,2.8888995,3937.55811
CMFLIM12 Day3 AL Animal6,3,AL,6,CMFLIM12,0.635938196,0.602614,3.0243405,11122.51643,0.639101575,0.6217285,3.017043,11948.53491,0.712223211,0.6089205,3.001749,3921.544016,0.745066073,0.647618,2.994448,9195.980871,0.701887281,0.56097,2.5341815,9694.530735,0.714887182,0.525383,2.702576,8665.629074
CMFLIM14 Day3 AL Animal6,3,AL,6,CMFLIM14,0.663829654,0.6078745,3.0062865,3848.796816,0.701205912,0.563664,2.913276,5488.023688,0.748808706,0.5827655,2.827777,3649.376529,0.75708811,0.561294,2.7829995,5369.855066,0.704546339,0.6407005,2.721512,8649.911948,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day3 AL Animal7,3,AL,7,CMFLIM10,0.662891203,0.5882475,2.9065485,3940.934192,0.669011085,0.600739,2.8828825,5633.472424,0.73417623,0.5952825,2.6528615,3176.844984,0.738944344,0.6288255,2.908537,7219.053213,0.69418798,0.570803,2.4915345,8679.8003,#N/A,#N/A,#N/A,#N/A
