AnimalID,Age,Nutrients,Animal,Exp,t h a1,t h t1,t h t2,t h i,h h a1,h h t1,h h t2,h h i,t bwm a1,t bwm t1,t bwm t2,t bwm i,h bwm a1,h bwm t1,h bwm t2,h bwm i,pm a1,pm t1,pm t2,pm i,g a1,g t1,g t2,g i
CMFLIM12 Day5 AL Animal4,5,AL,4,CMFLIM12,0.672179355,0.5965895,2.9940435,8457.661615,0.695261689,0.631047,2.9603295,14098.67095,0.712516894,0.650087,2.8892485,4336.201818,0.771024896,0.5864075,2.6941455,10331.62758,0.702137706,0.6078815,2.5691515,15950.95044,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day5 AL Animal5,5,AL,5,CMFLIM10,0.674908276,0.5662475,2.753612,9419.892466,0.709759658,0.5650185,3.0442755,8596.520992,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.722407802,0.5843735,2.647604,8604.007279,0.688796952,0.6633155,3.1352255,6801.511509
CMFLIM12 Day5 AL Animal5,5,AL,5,CMFLIM12,0.685594708,0.6325005,3.187982,11767.99275,0.638770845,0.6335865,3.1598005,6192.588315,0.707543111,0.5530675,2.8039415,6361.727122,0.782241886,0.513385,2.709108,7885.834021,0.721593282,0.6077915,2.695972,11823.85413,0.620694518,0.679952,3.0065225,17744.22356
CMFLIM10 Day5 AL Animal6,5,AL,6,CMFLIM10,0.728294229,0.519523,2.9394125,9475.594084,0.74848958,0.540534,2.8256515,5234.849375,0.788649655,0.5263025,2.715918,9295.275819,0.817581677,0.4923665,2.520477,9830.424432,0.757310359,0.572857,2.667638,10385.10582,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day5 AL Animal6,5,AL,6,CMFLIM12,0.669564206,0.624152,3.065784,17594.30621,0.622348712,0.586189,3.02065,6472.155355,0.727359453,0.6477235,2.8369155,15940.53088,0.753203882,0.616327,2.8536375,8576.685961,0.70939907,0.568923,2.421939,12627.43025,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day5 AL Animal7,5,AL,7,CMFLIM10,0.728176415,0.554752,3.004986,5352.012188,0.673864465,0.526976,2.9502635,8353.070244,0.735436677,0.6215875,2.7659245,5905.459181,0.763532931,0.537304,2.781168,7673.471581,0.737777445,0.5450675,2.605061,8726.101051,#N/A,#N/A,#N/A,#N/A
CMFLIM10 Day5 AL Animal8,5,AL,8,CMFLIM10,0.683705081,0.556237,2.8822655,13664.40313,0.663760325,0.5632285,3.08398,13782.73545,0.770758293,0.617059,2.827503,9949.4506,#N/A,#N/A,#N/A,#N/A,0.750663638,0.556069,2.728277,12825.32064,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day5 AL Animal8,5,AL,8,CMFLIM12,0.673045708,0.547798,2.9995855,9504.955947,0.633061091,0.6298855,2.9891125,2705.585615,0.702731742,0.676948,2.8599155,6925.867263,0.760373782,0.737139,3.3031485,4530.380907,0.726210527,0.5899155,2.7056265,4319.566814,0.622248025,0.7027955,2.900788,2180.720577
CMFLIM10 Day5 AL Animal9,5,AL,9,CMFLIM10,0.6729308,0.5546985,2.8366895,6751.219211,0.615897509,0.6114685,2.983742,9079.245848,0.724495397,0.5886765,2.787168,4814.790218,0.742919831,0.5960655,2.783009,9018.338415,0.664812917,0.6720285,2.605248,11740.625,0.71052837,0.5389975,2.692141,6505.904284
CMFLIM12 Day5 AL Animal9,5,AL,9,CMFLIM12,#N/A,#N/A,#N/A,#N/A,0.61374993,0.5854525,2.777823,7826.052769,#N/A,#N/A,#N/A,#N/A,0.722222932,0.601814,2.6849005,7301.065948,0.701521773,0.593568,2.6166945,6949.457256,0.653453492,0.6170425,2.8008435,8359.314607
CMFLIM12 Day5 DR Animal10,5,DR,10,CMFLIM12,0.705936386,0.6716215,3.2281275,5722.507488,0.657478254,0.61073,2.9054425,8516.71303,0.701812718,0.6588845,3.171764,3322.929342,0.723700597,0.653404,2.8324995,5336.226596,0.704650213,0.560652,2.445124,11357.9627,0.697747241,0.623489,3.010353,9134.191732
CMFLIM10 Day5 DR Animal1,5,DR,1,CMFLIM10,0.715342294,0.5429965,2.851203,13255.6083,0.594873053,0.603046,2.8839875,8390.674792,0.804833715,0.4992495,2.620225,10260.65857,0.720298972,0.5697975,2.70895,4131.028878,0.704507776,0.625182,2.7911295,7485.00016,0.690286974,0.595954,2.991018,3099.852917
CMFLIM12 Day5 DR Animal1,5,DR,1,CMFLIM12,0.664255754,0.5469205,2.820325,6532.438631,0.683600475,0.571813,2.7257615,15762.36502,0.692485151,0.5921925,2.6198215,2683.225844,0.734123934,0.5748785,2.685884,6498.97574,0.740949951,0.6167495,2.6473725,8292.140419,0.745001073,0.5666125,2.811495,5814.208518
CMFLIM10 Day5 DR Animal2,5,DR,2,CMFLIM10,0.700037089,0.5404925,3.127011,7487.160176,0.694412575,0.5301355,2.811277,17335.01522,0.766682625,0.588473,3.0722205,4226.658477,0.75310715,0.594976,2.6439285,16494.72875,0.695205201,0.569028,2.459468,17381.09176,#N/A,#N/A,#N/A,#N/A
CMFLIM12 Day5 DR Animal2,5,DR,2,CMFLIM12,0.655341465,0.7957535,3.4126355,5616.397783,0.662477733,0.552227,2.794272,8995.151403,0.720824516,0.704826,3.4869545,2409.698934,0.735415097,0.6199025,2.6498405,5573.624879,0.721384974,0.583329,2.446811,5666.30278,0.700393443,0.5802825,2.823949,2642.746914
CMFLIM10 Day5 DR Animal3,5,DR,3,CMFLIM10,0.639660009,0.583127,3.0413205,5918.930642,0.713811497,0.5905835,3.185341,6204.061514,0.676354254,0.538911,2.8102105,2700.648896,0.746731192,0.576038,2.853845,6216.360029,0.722635015,0.6741395,2.9635685,10183.78084,0.679919827,0.6401405,3.597351,3868.220385
